center,left,right,steering,throttle,brake,speed
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_10_302.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_10_302.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_10_302.jpg,-0.05,1.0,0,30.18933
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_21_20_653.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_21_20_653.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_21_20_653.jpg,-0.3,1.0,0,30.17585
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_05_172.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_05_172.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_05_172.jpg,-0.2,1.0,0,30.18037
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_55_178.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_55_178.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_55_178.jpg,0.05,1.0,0,30.18971
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_28_722.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_28_722.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_28_722.jpg,0.0,1.0,0,30.19019
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_19_59_258.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_19_59_258.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_19_59_258.jpg,-0.25,1.0,0,30.17952
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_13_898.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_13_898.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_13_898.jpg,0.0,1.0,0,30.18994
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_58_358.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_58_358.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_58_358.jpg,0.15,1.0,0,30.18417
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_21_11_743.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_21_11_743.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_21_11_743.jpg,0.15,1.0,0,30.1846
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_25_552.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_25_552.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_25_552.jpg,-0.15,1.0,0,30.18678
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_08_13_993.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_08_13_993.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_08_13_993.jpg,0.2,1.0,0,30.18094
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_21_16_692.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_21_16_692.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_21_16_692.jpg,0.0,1.0,0,30.16765
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_10_00_501.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_10_00_501.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_10_00_501.jpg,0.1,1.0,0,30.18887
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_10_09_848.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_10_09_848.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_10_09_848.jpg,0.2,1.0,0,30.17984
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_11_420.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_11_420.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_11_420.jpg,0.0,1.0,0,30.19029
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_50_097.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_50_097.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_50_097.jpg,0.0,1.0,0,30.19042
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_08_41_338.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_08_41_338.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_08_41_338.jpg,0.0,1.0,0,30.1881
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_08_10_467.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_08_10_467.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_08_10_467.jpg,0.15,1.0,0,30.18421
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_18_303.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_18_303.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_18_303.jpg,0.15,1.0,0,30.18537
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_08_49_998.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_08_49_998.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_08_49_998.jpg,-0.1,1.0,0,30.18835
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_35_576.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_35_576.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_35_576.jpg,0.0,1.0,0,30.19033
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_21_44_670.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_21_44_670.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_21_44_670.jpg,-0.15,1.0,0,30.18411
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_07_976.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_07_976.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_07_976.jpg,-0.3,1.0,0,30.16985
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_20_45_180.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_20_45_180.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_20_45_180.jpg,0.0,1.0,0,30.18996
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_16_551.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_16_551.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_16_551.jpg,0.5000001,1.0,0,30.14524
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_57_912.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_57_912.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_57_912.jpg,0.25,1.0,0,30.17443
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_10_02_880.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_10_02_880.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_10_02_880.jpg,0.15,1.0,0,30.18994
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_14_732.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_14_732.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_14_732.jpg,0.0,1.0,0,30.18981
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_10_25_771.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_10_25_771.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_10_25_771.jpg,0.6000001,1.0,0,30.13791
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_24_662.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_24_662.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_24_662.jpg,0.15,1.0,0,30.18641
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_54_232.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_54_232.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_54_232.jpg,0.25,1.0,0,30.17501
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_42_706.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_42_706.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_42_706.jpg,0.0,1.0,0,30.19033
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_08_38_942.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_08_38_942.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_08_38_942.jpg,0.05,1.0,0,30.18978
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_39_990.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_39_990.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_39_990.jpg,0.6000001,1.0,0,30.13269
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_20_58_907.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_20_58_907.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_20_58_907.jpg,-0.5000001,1.0,0,30.14794
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_19_040.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_19_040.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_19_040.jpg,0.2,1.0,0,30.17985
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_49_323.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_49_323.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_49_323.jpg,0.0,1.0,0,30.19017
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_19_57_674.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_19_57_674.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_19_57_674.jpg,-0.35,1.0,0,30.16673
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_08_00_754.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_08_00_754.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_08_00_754.jpg,0.25,1.0,0,30.17687
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_38_873.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_38_873.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_38_873.jpg,0.2,1.0,0,30.17981
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_21_21_739.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_21_21_739.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_21_21_739.jpg,-0.05,1.0,0,30.18942
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_20_57_739.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_20_57_739.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_20_57_739.jpg,0.0,1.0,0,30.18872
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_10_02_584.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_10_02_584.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_10_02_584.jpg,0.25,1.0,0,30.17595
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_03_189.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_03_189.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_03_189.jpg,0.05,1.0,0,30.18992
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_15_083.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_15_083.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_15_083.jpg,0.1,1.0,0,30.19083
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_39_469.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_39_469.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_39_469.jpg,0.0,1.0,0,30.17351
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_21_52_390.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_21_52_390.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_21_52_390.jpg,0.0,1.0,0,30.19012
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_31_354.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_31_354.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_31_354.jpg,0.3,1.0,0,30.16972
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_05_57_507.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_05_57_507.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_05_57_507.jpg,0.6000001,1.0,0,24.79467
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_38_005.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_38_005.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_38_005.jpg,0.05,1.0,0,30.18991
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_19_911.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_19_911.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_19_911.jpg,0.05,1.0,0,30.18972
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_08_21_928.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_08_21_928.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_08_21_928.jpg,0.3,1.0,0,30.17089
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_30_065.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_30_065.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_30_065.jpg,0.1,1.0,0,30.18977
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_07_910.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_07_910.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_07_910.jpg,-0.1,1.0,0,30.18771
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_13_850.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_13_850.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_13_850.jpg,0.05,1.0,0,30.19027
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_21_35_329.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_21_35_329.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_21_35_329.jpg,0.0,1.0,0,30.19018
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_43_849.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_43_849.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_43_849.jpg,0.0,1.0,0,30.19088
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_28_446.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_28_446.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_28_446.jpg,0.1,1.0,0,30.18762
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_56_695.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_56_695.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_56_695.jpg,0.2,1.0,0,30.17983
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_10_18_648.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_10_18_648.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_10_18_648.jpg,0.0,1.0,0,30.19029
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_21_337.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_21_337.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_21_337.jpg,0.0,1.0,0,30.18995
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_01_494.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_01_494.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_01_494.jpg,0.35,1.0,0,30.16558
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_39_638.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_39_638.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_39_638.jpg,0.0,1.0,0,30.19034
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_58_745.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_58_745.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_58_745.jpg,0.0,1.0,0,30.19029
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_47_184.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_47_184.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_47_184.jpg,-0.6000001,1.0,0,30.135
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_08_56_768.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_08_56_768.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_08_56_768.jpg,0.0,1.0,0,30.19029
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_12_681.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_12_681.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_12_681.jpg,0.25,1.0,0,30.17439
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_55_758.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_55_758.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_55_758.jpg,0.15,1.0,0,30.18505
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_10_666.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_10_666.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_10_666.jpg,0.0,1.0,0,30.19061
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_22_626.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_22_626.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_22_626.jpg,-0.4,1.0,0,30.16091
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_10_08_296.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_10_08_296.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_10_08_296.jpg,0.25,1.0,0,30.17742
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_40_478.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_40_478.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_40_478.jpg,0.45,1.0,0,30.15673
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_21_12_524.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_21_12_524.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_21_12_524.jpg,0.0,1.0,0,30.19027
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_21_23_920.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_21_23_920.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_21_23_920.jpg,-0.2,1.0,0,30.18159
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_19_596.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_19_596.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_19_596.jpg,0.0,1.0,0,30.19019
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_18_814.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_18_814.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_18_814.jpg,-0.1,1.0,0,30.1892
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_42_417.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_42_417.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_42_417.jpg,0.0,1.0,0,30.1904
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_38_338.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_38_338.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_38_338.jpg,0.3,1.0,0,30.1693
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_08_38_216.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_08_38_216.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_08_38_216.jpg,0.25,1.0,0,30.17755
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_34_273.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_34_273.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_34_273.jpg,0.3,1.0,0,30.17121
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_20_25_817.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_20_25_817.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_20_25_817.jpg,-0.25,1.0,0,30.17442
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_05_57_926.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_05_57_926.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_05_57_926.jpg,-0.3,1.0,0,28.2617
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_31_074.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_31_074.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_31_074.jpg,0.0,1.0,0,30.18951
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_08_17_615.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_08_17_615.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_08_17_615.jpg,0.2,1.0,0,30.17948
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_20_36_638.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_20_36_638.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_20_36_638.jpg,-0.05,1.0,0,30.19028
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_51_418.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_51_418.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_51_418.jpg,0.05,1.0,0,30.18965
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_20_59_856.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_20_59_856.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_20_59_856.jpg,-0.5500001,1.0,0,30.1415
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_11_490.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_11_490.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_11_490.jpg,0.0,1.0,0,30.19032
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_08_01_201.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_08_01_201.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_08_01_201.jpg,0.05,1.0,0,30.1901
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_58_106.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_58_106.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_58_106.jpg,0.35,1.0,0,30.16348
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_13_495.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_13_495.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_13_495.jpg,0.0,1.0,0,30.18993
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_27_042.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_27_042.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_27_042.jpg,0.15,1.0,0,30.18662
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_39_990.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_39_990.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_39_990.jpg,-0.4,1.0,0,30.16113
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_20_35_056.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_20_35_056.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_20_35_056.jpg,-0.2,1.0,0,30.18187
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_39_293.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_39_293.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_39_293.jpg,0.0,1.0,0,30.18663
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_16_310.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_16_310.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_16_310.jpg,0.9500002,1.0,0,30.09764
